Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25?
muduo,Cppcheck,CWE-119,11,False
muduo,Cppcheck,CWE-398,85,False
muduo,Cppcheck,CWE-476,2,True
muduo,Cppcheck,CWE-561,1,False
muduo,Cppcheck,CWE-563,3,False
muduo,Cppcheck,CWE-570,2,False
muduo,Cppcheck,CWE-571,1,False
muduo,Cppcheck,CWE-685,1,False
muduo,Cppcheck,CWE-686,14,False
muduo,Cppcheck,CWE-758,29,False
muduo,Cppcheck,Unknown,1223,False
muduo,Flawfinder,CWE-119,111,False
muduo,Flawfinder,CWE-120,42,False
muduo,Flawfinder,CWE-126,19,False
muduo,Flawfinder,CWE-134,419,False
muduo,Flawfinder,CWE-190,102,True
muduo,Flawfinder,CWE-20,35,True
muduo,Flawfinder,CWE-327,1,False
muduo,Flawfinder,CWE-362,17,False
muduo,Flawfinder,CWE-676,4,False
muduo,Flawfinder,CWE-807,4,False
muduo,Semgrep,CWE-125: Out-of-bounds Read,1,True
muduo,Semgrep,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),1,True
leveldb,Cppcheck,CWE-398,36,False
leveldb,Cppcheck,CWE-476,9,True
leveldb,Cppcheck,CWE-561,5,False
leveldb,Cppcheck,CWE-563,6,False
leveldb,Cppcheck,CWE-570,3,False
leveldb,Cppcheck,CWE-571,8,False
leveldb,Cppcheck,CWE-665,4,False
leveldb,Cppcheck,Unknown,615,False
leveldb,Flawfinder,CWE-119,85,False
leveldb,Flawfinder,CWE-120,67,False
leveldb,Flawfinder,CWE-126,15,False
leveldb,Flawfinder,CWE-134,184,False
leveldb,Flawfinder,CWE-190,2,True
leveldb,Flawfinder,CWE-327,1,False
leveldb,Flawfinder,CWE-362,16,False
leveldb,Flawfinder,CWE-78,1,True
leveldb,Flawfinder,CWE-807,2,False
xiaozhi-esp32,Cppcheck,CWE-398,420,False
xiaozhi-esp32,Cppcheck,CWE-401,4,False
xiaozhi-esp32,Cppcheck,CWE-476,33,True
xiaozhi-esp32,Cppcheck,CWE-561,56,False
xiaozhi-esp32,Cppcheck,CWE-563,23,False
xiaozhi-esp32,Cppcheck,CWE-571,6,False
xiaozhi-esp32,Cppcheck,CWE-597,1,False
xiaozhi-esp32,Cppcheck,CWE-672,1,False
xiaozhi-esp32,Cppcheck,CWE-686,4,False
xiaozhi-esp32,Cppcheck,CWE-758,62,False
xiaozhi-esp32,Cppcheck,CWE-783,2,False
xiaozhi-esp32,Cppcheck,Unknown,2789,False
xiaozhi-esp32,Semgrep,CWE-416: Use After Free,3,True
xiaozhi-esp32,Semgrep,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),1,True
