Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25?
leveldb,Cppcheck,CWE-398,36,False
leveldb,Cppcheck,CWE-476,9,True
leveldb,Cppcheck,CWE-561,5,False
leveldb,Cppcheck,CWE-563,6,False
leveldb,Cppcheck,CWE-570,3,False
leveldb,Cppcheck,CWE-571,8,False
leveldb,Cppcheck,CWE-665,4,False
leveldb,Cppcheck,Unknown,615,False
leveldb,Flawfinder,CWE-119,85,False
leveldb,Flawfinder,CWE-120,67,False
leveldb,Flawfinder,CWE-126,15,False
leveldb,Flawfinder,CWE-134,184,False
leveldb,Flawfinder,CWE-190,2,True
leveldb,Flawfinder,CWE-327,1,False
leveldb,Flawfinder,CWE-362,16,False
leveldb,Flawfinder,CWE-78,1,True
leveldb,Flawfinder,CWE-807,2,False
